FacilityName,ATGTankLabel,TankCapacity,Ullage,SafeUllage,Volume
101 Santa Cruz Gas & Shop,REGULAR             ,20043,7884.00,5879.4578125,12159.24
101 Santa Cruz Gas & Shop,PREMIUM             ,12041,9008.00,7803.62070312,3033.28
101 Santa Cruz Gas & Shop,DIESEL              ,8027,5159.00,4356.04853516,2868.25
103 Woodside Gas & Shop ,REGULAR             ,12041,5417.00,4212.50498047,6624.40
103 Woodside Gas & Shop ,DIESEL              ,10020,7413.00,6410.93139648,2607.07
104 San Mateo Gas & Shop,87 REGULAR          ,19782,2951.03,972.831249999999,16830.97
104 San Mateo Gas & Shop,91 PREMIUM          ,11904,6256.20,5065.7953125,5647.80
104 San Mateo Gas & Shop,DIESEL              ,7901,3419.75,2629.64658203,4481.25
105 Capitol Gas & Shop ,REGULAR             ,20145,9086.00,7071.95703125,11058.54
105 Capitol Gas & Shop ,PREMIUM             ,20145,18823.00,16808.82519531,1321.67
105 Capitol Gas & Shop ,DIESEL              ,15051,11846.00,10340.56259766,3205.34
107 Mckee Gas & Shop ,REGULAR             ,20086,7772.00,5763.63632812,12313.76
107 Mckee Gas & Shop ,PREMIUM             ,20086,12689.00,10680.01474609,7397.39
107 Mckee Gas & Shop ,DIESEL              ,20086,16209.00,14200.37241211,3877.03
108 San Anselmo Gas & Shop ,REGULAR TANK 1      ,12141,9015.00,7801.10703125,3125.79
108 San Anselmo Gas & Shop ,PREMIUM             ,10140,6561.00,5546.82495117,3579.18
108 San Anselmo Gas & Shop ,REGULAR TANK 2      ,10141,7553.00,6538.74179687,2588.16
110 Auburn Gas & Shop ,REGULAR FRONT       ,12079,8084.00,6876.1,3995.00
110 Auburn Gas & Shop ,PREMIUM FRONT       ,12079,2829.00,1621.1,9250.00
110 Auburn Gas & Shop ,REGULAR BACK        ,11904,7699.00,6508.6,4205.00
110 Auburn Gas & Shop ,PREMIUM BACK        ,8665,3817.00,2950.5,4848.00
110 Auburn Gas & Shop ,DIESEL              ,16621,6719.00,5056.9,9902.00
